Detailed Report Categories over Three Years
Year,Category,SubCategory,# of Reports,Percentage
2019,Banks and Lenders,Payday Loans,"7,787",0.24%
2019,Banks and Lenders,Student Loans,"36,884",1.14%
2019,Business and Job Opportunities,Business & Work-at-Home Opportunities,"15,095",0.47%
2019,Business and Job Opportunities,Franchises & Distributorships*,743,0.02%
2019,Business and Job Opportunities,Invention Promotion,849,0.03%
2019,Business and Job Opportunities,Job Scams & Employment Agencies,"10,172",0.31%
2019,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"1,738",0.05%
2019,Charitable Solicitations,Charitable Solicitations,"3,487",0.11%
2019,Computer Equipment and Software,Computer Equipment & Software,"14,347",0.44%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"164,868",5.08%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,646,0.02%
2019,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,348,0.01%
2019,Credit Cards,Credit Cards,"55,238",1.70%
2019,Debt Collection,Creditor Debt Collection,"37,447",1.15%
2019,Debt Collection,Third Party Debt Collection,"99,163",3.06%
2019,Education,Colleges & Universities,"18,905",0.58%
2019,Education,Trade & Vocational Schools,"2,561",0.08%
2019,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"27,351",0.84%
2019,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"3,905",0.12%
2019,Funeral Services,Funeral Services,"1,155",0.04%
2019,Grants,Non-Educational Grants,"4,462",0.14%
2019,Grants,Scholarships & Educational Grants,869,0.03%
2019,Health Care,Connected Wearable Devices*,108,0.00%
2019,Health Care,"Diet Products, Plans & Centers","15,258",0.47%
2019,Health Care,Eye Care*,"4,743",0.15%
2019,Health Care,Health Care Billing,"1,230",0.04%
2019,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"3,362",0.10%
2019,Health Care,Health Care: Drugs-OTC\Prescription§,"2,594",0.08%
2019,Health Care,Health Care: Other Medical Treatments*§,"17,372",0.54%
2019,Health Care,Health Care: Other Products\Supplies*§,"12,519",0.39%
2019,Health Care,Medical Insurance & Discount Plans,"6,537",0.20%
2019,Health Care,Medical Treatments & Cures‡,53,0.00%
2019,Health Care,Misc. Medical*‡,5,0.00%
2019,"Home Repair, Improvement and Products",Home Appliances,"2,940",0.09%
2019,"Home Repair, Improvement and Products",Home Furnishings,"1,748",0.05%
2019,"Home Repair, Improvement and Products",Home Protection Devices,"1,189",0.04%
2019,"Home Repair, Improvement and Products",Home Repair,"12,369",0.38%
2019,"Home Repair, Improvement and Products",Housing,"9,168",0.28%
2019,Identity Theft,Identity Theft,"650,523",20.05%
2019,Imposter Scams,Business Imposters,"106,718",3.29%
2019,Imposter Scams,Family & Friend Imposters,"20,137",0.62%
2019,Imposter Scams,Government Imposters,"388,566",11.97%
2019,Imposter Scams,Romance Scams,"25,113",0.77%
2019,Imposter Scams,Tech Support Scams,"108,103",3.33%
2019,Internet Auction,Internet Auction§,"1,833",0.06%
2019,Internet Services,Broadband Internet Access*,"3,785",0.12%
